Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/23/2024,10/24/2024,AMZN Mktp US*FB7IV4LZ3,Shopping,Sale,-69.70,
10/23/2024,10/24/2024,AMAZON MKTPL*8H4T69GC3,Shopping,Sale,-83.34,
10/22/2024,10/23/2024,AMAZON MKTPL*VG7S59XD3,Shopping,Sale,-78.49,
10/21/2024,10/22/2024,AMAZON MKTPL*G27J11TJ3,Shopping,Sale,-27.64,
10/19/2024,10/20/2024,GOOGLE *Google One,Shopping,Sale,-2.19,
10/18/2024,10/18/2024,AUTOMATIC PAYMENT - THANK,,Payment,1011.07,
10/13/2024,10/14/2024,Amazon.com*QB9EI8653,Shopping,Sale,-331.74,
10/10/2024,10/11/2024,AMAZON MKTPL*9P4HV0843,Shopping,Sale,-45.90,
10/09/2024,10/09/2024,NOTION LABS  INC.,Professional Services,Sale,-13.13,
10/04/2024,10/06/2024,Amazon.com*HL34M7KS3,Shopping,Sale,-43.25,
09/29/2024,09/30/2024,GOOGLE *YouTubePremium,Entertainment,Sale,-25.42,
09/24/2024,09/24/2024,AMZN Mktp US*8V4CY9LD3,Shopping,Sale,-29.85,
09/23/2024,09/23/2024,AMAZON MKTPL*VU8E14P33,Shopping,Sale,-18.90,
09/20/2024,09/22/2024,AMAZON MKTPL*8T6Y98FL3,Shopping,Sale,-23.21,
09/21/2024,09/22/2024,Amazon.com*Z08LM1YC0,Shopping,Sale,-194.11,
09/20/2024,09/22/2024,AMZN Mktp US*KQ7QN8AY3,Shopping,Sale,-55.28,
09/19/2024,09/20/2024,GOOGLE *Google One,Shopping,Sale,-0.54,
09/19/2024,09/19/2024,AMAZON MKTPL*824FC7NT3,Shopping,Sale,-28.35,
09/18/2024,09/19/2024,Amazon.com*LG4YK7W23,Shopping,Sale,-49.77,
09/18/2024,09/19/2024,AMAZON MKTPL*Q956404F3,Shopping,Sale,-97.11,
09/09/2024,09/09/2024,NOTION LABS  INC.,Professional Services,Sale,-10.94,
09/07/2024,09/08/2024,Amazon.com*ZT6TX0YJ2,Shopping,Sale,-216.40,
09/05/2024,09/06/2024,AMAZON MKTPL*ZT7PQ1292,Shopping,Sale,-214.79,
09/05/2024,09/06/2024,AMAZON MKTPL*ZT9XS8292,Shopping,Sale,-19.65,
09/06/2024,09/06/2024,Amazon.com*ZT3CV87P2,Shopping,Sale,-26.53,
09/05/2024,09/06/2024,AMAZON MKTPL*ZT0IJ11A1,Shopping,Sale,-44.23,
09/01/2024,09/02/2024,AMAZON MKTPL*ZT62S8432,Shopping,Sale,-42.02,
08/29/2024,08/30/2024,GOOGLE *YouTubePremium,Shopping,Sale,-25.42,
08/24/2024,08/25/2024,AMAZON MKTPL*R41B58UT2,Shopping,Sale,-201.45,
08/21/2024,08/22/2024,Amazon.com*R41TT8CY1,Shopping,Sale,-33.87,
08/21/2024,08/21/2024,Payment Thank You-Mobile,,Payment,2740.72,
08/19/2024,08/20/2024,GOOGLE *Google One,Entertainment,Sale,-0.54,
08/18/2024,08/18/2024,AUTOMATIC PAYMENT - THANK,,Payment,1128.05,
08/16/2024,08/18/2024,AMZN Mktp US*RU2C56JM1,Shopping,Sale,-2315.94,
08/11/2024,08/11/2024,AMAZON MKTPL*RM0GM6X70,Shopping,Sale,-53.67,
08/09/2024,08/09/2024,NOTION LABS  INC.,Professional Services,Sale,-10.94,
08/07/2024,08/08/2024,GOOGLE *Kakao Corp,Shopping,Sale,-2.43,
07/29/2024,07/30/2024,GOOGLE *YouTubePremium,Shopping,Sale,-25.42,
07/23/2024,07/23/2024,Amazon.com*RJ7BD7111,Shopping,Sale,-331.78,
07/19/2024,07/21/2024,AMAZON MKTPL*RJ9MW5F80,Shopping,Sale,-37.80,
07/19/2024,07/21/2024,AMAZON MKTPL*RS1F527D2,Shopping,Sale,-13.92,
07/20/2024,07/21/2024,AMAZON MKTPL*RJ1V26C61,Shopping,Sale,-7.73,
07/18/2024,07/19/2024,TESLA SUPERCHARGER US,Automotive,Sale,-4.94,
07/17/2024,07/18/2024,AMAZON MKTPL*RS2PF0XH2,Shopping,Sale,-16.58,
07/16/2024,07/17/2024,Amazon.com*RS4XN4JP2,Shopping,Sale,-25.25,
07/16/2024,07/17/2024,Amazon.com*RS6814J92,Shopping,Sale,-828.38,
07/15/2024,07/16/2024,AMAZON MKTPL*RS2CK7CQ1,Shopping,Sale,-16.53,
07/12/2024,07/14/2024,AMAZON MKTPL*RY03V2U20,Shopping,Sale,-141.09,
07/14/2024,07/14/2024,TESLA SUPERCHARGER US,Automotive,Sale,-15.50,
07/08/2024,07/09/2024,Amazon.com*R750T69K1,Shopping,Sale,-9.39,
07/09/2024,07/09/2024,NOTION LABS  INC.,Professional Services,Sale,-10.94,
07/08/2024,07/08/2024,Payment Thank You-Mobile,,Payment,982.55,
07/01/2024,07/02/2024,AMAZON MKTPL*R74HP0JF0,Shopping,Sale,-28.73,
07/01/2024,07/02/2024,AMAZON MKTPL*R76F940K0,Shopping,Sale,-11.05,
06/29/2024,06/30/2024,GOOGLE *YouTubePremium,Shopping,Sale,-25.42,
06/26/2024,06/27/2024,AMAZON MKTPL*RC01Z1FA2,Shopping,Sale,-40.64,
06/12/2024,06/13/2024,Amazon.com*044EV78J3,Shopping,Sale,-34.83,
